id,level,category,topic,title,rule,explanation,correct_example_1,correct_example_2,incorrect_example,corrected_example,error_reason,keywords
a1-be-am-is-are,A1,be,the verb be,Using be in the present simple,"Use am with I, is with he, she and it, and are with you, we and they.",The verb be changes with the subject.,I am tired.,They are from Spain.,She are happy.,She is happy.,"Use is with she, not are.","be, am, is, are, present simple"
a1-subject-pronouns,A1,pronouns,subject pronouns,Using subject pronouns correctly,"Use subject pronouns before the verb: I, you, he, she, it, we, they.",Subject pronouns replace names and come before the verb.,He works in a bank.,We live in Bristol.,Me work in a bank.,I work in a bank.,Me is not a subject pronoun.,"subject pronouns, I, you, he, she, it, we, they"
a1-articles-a-an-the,A1,articles,articles,"Using a, an and the","Use a before consonant sounds, an before vowel sounds, and the for a specific noun.",Articles tell us if a noun is general or specific.,I have a car.,She wants an apple.,He bought the book for the first time.,He bought a book for the first time.,Use a when the noun is not specific.,"articles, a, an, the"
a1-plurals-regular,A1,nouns,plurals,Regular plural nouns,Most regular nouns make the plural with -s or -es.,"Add -s to most nouns, and -es after endings like -s, -sh, -ch, -x and -o.",There are two cats.,She has three boxes.,I saw two dog.,I saw two dogs.,Plural nouns usually need -s or -es.,"plurals, singular, plural, -s, -es"
a1-present-simple-routines,A1,present simple,present simple,Present simple for routines,"Use the present simple for routines, habits and facts.",We use it for things that happen regularly or are always true.,I get up at seven.,Water boils at 100 degrees.,I am getting up at seven every day.,I get up at seven every day.,"A regular routine needs the present simple, not present continuous.","present simple, routines, habits, facts"
a1-present-simple-third-person,A1,present simple,third person singular,Third person singular in the present simple,"In the present simple, add -s or -es to the verb with he, she or it.",The verb changes in the third person singular.,She plays tennis.,It rains a lot here.,He play football.,He plays football.,Use plays with he.,"present simple, third person singular, -s, -es"
a1-present-simple-dont-doesnt,A1,present simple,negatives,Present simple negatives with do not and does not,Use do not/does not + base verb in negatives.,Do not and does not make the sentence negative.,I do not like tea.,She does not work on Sundays.,She does not works on Sundays.,She does not work on Sundays.,"After does not, use the base form of the verb.","present simple, negative, do not, does not, don't, doesn't"
a1-present-simple-questions,A1,present simple,questions,Present simple questions with do and does,"Use do or does at the start of present simple questions, then the base verb.",Do and does help make questions in the present simple.,Do you work here?,Does he speak English?,Does he speaks English?,Does he speak English?,"After does, use the base verb.","present simple, questions, do, does"
a1-possessive-adjectives,A1,pronouns,possessive adjectives,Possessive adjectives before nouns,"Use my, your, his, her, its, our and their before a noun.",Possessive adjectives show who something belongs to.,This is my phone.,Their house is big.,This is mine phone.,This is my phone.,Mine is not used before a noun.,"possessive adjectives, my, your, his, her, its, our, their"
a1-countable-uncountable-some-any,A1,nouns,countable and uncountable nouns,Some and any with nouns,Use some in affirmative sentences and any in negatives and questions with countable plural and uncountable nouns.,Some is common in positive sentences. Any is common in questions and negatives.,I have some money.,Do you have any milk?,I don't have some money.,I don't have any money.,Any is usually used in negatives.,"some, any, countable, uncountable, nouns"
